# Region type :     patch inlet
# Faces             : 420
# Area              : 1.251467399199e-03
# Scale factor      : 1.000000000000e+00
# Time              	sum(phi)
0                   	0.000000000000e+00
0.001               	-3.931548665596e-10
0.002               	-1.572557382534e-09
0.003               	-3.538021306611e-09
0.004               	-6.289236269283e-09
0.005               	-9.825767821858e-09
0.006               	-1.414705750506e-08
0.007               	-1.925242293722e-08
0.008               	-2.514105792204e-08
0.009               	-3.181203257587e-08
0.01                	-3.926429347460e-08
0.011               	-4.749666381994e-08
0.012               	-5.650784362532e-08
0.013               	-6.629640992112e-08
0.014               	-7.686081697941e-08
0.015               	-8.819939655800e-08
0.016               	-1.003103581639e-07
0.017               	-1.131917893361e-07
0.018               	-1.268416559475e-07
0.019               	-1.412578025261e-07
0.02                	-1.564379525954e-07
0.021               	-1.723797090341e-07
0.022               	-1.890805544542e-07
0.023               	-2.065378515989e-07
0.024               	-2.247488437589e-07
0.025               	-2.437106552077e-07
0.026               	-2.634202916557e-07
0.027               	-2.838746407232e-07
0.028               	-3.050704724316e-07
0.029               	-3.270044397138e-07
0.03                	-3.496730789424e-07
0.031               	-3.730728104768e-07
0.032               	-3.971999392285e-07
0.033               	-4.220506552445e-07
0.034               	-4.476210343092e-07
0.035               	-4.739070385635e-07
0.036               	-5.009045171433e-07
0.037               	-5.286092068339e-07
0.038               	-5.570167327443e-07
0.039               	-5.861226089971e-07
0.04                	-6.159222394376e-07
0.041               	-6.464109183591e-07
0.042               	-6.775838312462e-07
0.043               	-7.094360555352e-07
0.044               	-7.419625613910e-07
0.045               	-7.751582125019e-07
0.046               	-8.090177668902e-07
0.047               	-8.435358777403e-07
0.048               	-8.787070942428e-07
0.049               	-9.145258624556e-07
0.05                	-9.509865261804e-07
0.051               	-9.880833278563e-07
0.052               	-1.025810409469e-06
0.053               	-1.064161813475e-06
0.054               	-1.103131483745e-06
0.055               	-1.142713266515e-06
0.056               	-1.182900911365e-06
0.057               	-1.223688072199e-06
0.058               	-1.265068308253e-06
0.059               	-1.307035085109e-06
0.06                	-1.349581775727e-06
0.061               	-1.392701661492e-06
0.062               	-1.436387933274e-06
0.063               	-1.480633692505e-06
0.064               	-1.525431952269e-06
0.065               	-1.570775638400e-06
0.066               	-1.616657590607e-06
0.067               	-1.663070563597e-06
0.068               	-1.710007228225e-06
0.069               	-1.757460172648e-06
0.07                	-1.805421903497e-06
0.071               	-1.853884847060e-06
0.072               	-1.902841350476e-06
0.073               	-1.952283682946e-06
0.074               	-2.002204036955e-06
0.075               	-2.052594529500e-06
0.076               	-2.103447203340e-06
0.077               	-2.154754028247e-06
0.078               	-2.206506902281e-06
0.079               	-2.258697653064e-06
0.08                	-2.311318039072e-06
0.081               	-2.364359750937e-06
0.082               	-2.417814412758e-06
0.083               	-2.471673583425e-06
0.084               	-2.525928757953e-06
0.085               	-2.580571368820e-06
0.086               	-2.635592787326e-06
0.087               	-2.690984324952e-06
0.088               	-2.746737234733e-06
0.089               	-2.802842712638e-06
0.09                	-2.859291898965e-06
0.091               	-2.916075879732e-06
0.092               	-2.973185688091e-06
0.093               	-3.030612305743e-06
0.094               	-3.088346664359e-06
0.095               	-3.146379647017e-06
0.096               	-3.204702089637e-06
0.097               	-3.263304782429e-06
0.098               	-3.322178471350e-06
0.099               	-3.381313859563e-06
0.1                 	-3.440701608905e-06
0.101               	-3.500332341364e-06
0.102               	-3.560196640556e-06
0.103               	-3.620285053215e-06
0.104               	-3.680588090686e-06
0.105               	-3.741096230420e-06
0.106               	-3.801799917483e-06
0.107               	-3.862689566058e-06
0.108               	-3.923755560966e-06
0.109               	-3.984988259179e-06
0.11                	-4.046377991345e-06
0.111               	-4.107915063315e-06
0.112               	-4.169589757672e-06
0.113               	-4.231392335269e-06
0.114               	-4.293313036762e-06
0.115               	-4.355342084157e-06
0.116               	-4.417469682349e-06
0.117               	-4.479686020669e-06
0.118               	-4.541981274440e-06
0.119               	-4.604345606518e-06
0.12                	-4.666769168853e-06
0.121               	-4.729242104044e-06
0.122               	-4.791754546889e-06
0.123               	-4.854296625950e-06
0.124               	-4.916858465109e-06
0.125               	-4.979430185128e-06
0.126               	-5.042001905207e-06
0.127               	-5.104563744548e-06
0.128               	-5.167105823911e-06
0.129               	-5.229618267179e-06
0.13                	-5.292091202912e-06
0.131               	-5.354514765911e-06
0.132               	-5.416879098774e-06
0.133               	-5.479174353448e-06
0.134               	-5.541390692794e-06
0.135               	-5.603518292130e-06
0.136               	-5.665547340789e-06
0.137               	-5.727468043666e-06
0.138               	-5.789270622767e-06
0.139               	-5.850945318746e-06
0.14                	-5.912482392458e-06
0.141               	-5.973872126484e-06
0.142               	-6.035104826675e-06
0.143               	-6.096170823680e-06
0.144               	-6.157060474469e-06
0.145               	-6.217764163863e-06
0.146               	-6.278272306046e-06
0.147               	-6.338575346082e-06
0.148               	-6.398663761423e-06
0.149               	-6.458528063412e-06
0.15                	-6.518158798783e-06
0.151               	-6.577546551152e-06
0.152               	-6.636681942507e-06
0.153               	-6.695555634683e-06
0.154               	-6.754158330844e-06
0.155               	-6.812480776945e-06
0.156               	-6.870513763197e-06
0.157               	-6.928248125520e-06
0.158               	-6.985674746988e-06
0.159               	-7.042784559275e-06
0.16                	-7.099568544079e-06
0.161               	-7.156017734552e-06
0.162               	-7.212123216713e-06
0.163               	-7.267876130857e-06
0.164               	-7.323267672953e-06
0.165               	-7.378289096036e-06
0.166               	-7.432931711586e-06
0.167               	-7.487186890901e-06
0.168               	-7.541046066461e-06
0.169               	-7.594500733278e-06
0.17                	-7.647542450241e-06
0.171               	-7.700162841449e-06
0.172               	-7.752353597533e-06
0.173               	-7.804106476970e-06
0.174               	-7.855413307379e-06
0.175               	-7.906265986818e-06
0.176               	-7.956656485061e-06
0.177               	-8.006576844864e-06
0.178               	-8.056019183225e-06
0.179               	-8.104975692626e-06
0.18                	-8.153438642268e-06
0.181               	-8.201400379290e-06
0.182               	-8.248853329977e-06
0.183               	-8.295790000961e-06
0.184               	-8.342202980397e-06
0.185               	-8.388084939138e-06
0.186               	-8.433428631892e-06
0.187               	-8.478226898366e-06
0.188               	-8.522472664393e-06
0.189               	-8.566158943055e-06
0.19                	-8.609278835784e-06
0.191               	-8.651825533449e-06
0.192               	-8.693792317434e-06
0.193               	-8.735172560697e-06
0.194               	-8.775959728820e-06
0.195               	-8.816147381036e-06
0.196               	-8.855729171250e-06
0.197               	-8.894698849038e-06
0.198               	-8.933050260638e-06
0.199               	-8.970777349918e-06
0.2                 	-9.007874159334e-06
0.201               	-9.044334830869e-06
0.202               	-9.080153606962e-06
0.203               	-9.115324831413e-06
0.204               	-9.149842950279e-06
0.205               	-9.183702512749e-06
0.206               	-9.216898172007e-06
0.207               	-9.249424686073e-06
0.208               	-9.281276918634e-06
0.209               	-9.312449839854e-06
0.21                	-9.342938527168e-06
0.211               	-9.372738166059e-06
0.212               	-9.401844050820e-06
0.213               	-9.430251585293e-06
0.214               	-9.457956283601e-06
0.215               	-9.484953770851e-06
0.216               	-9.511239783827e-06
0.217               	-9.536810171663e-06
0.218               	-9.561660896499e-06
0.219               	-9.585788034118e-06
0.22                	-9.609187774566e-06
0.221               	-9.631856422752e-06
0.222               	-9.653790399035e-06
0.223               	-9.674986239786e-06
0.224               	-9.695440597936e-06
0.225               	-9.715150243505e-06
0.226               	-9.734112064113e-06
0.227               	-9.752323065467e-06
0.228               	-9.769780371841e-06
0.229               	-9.786481226523e-06
0.23                	-9.802422992255e-06
0.231               	-9.817603151648e-06
0.232               	-9.832019307579e-06
0.233               	-9.845669183569e-06
0.234               	-9.858550624146e-06
0.235               	-9.870661595181e-06
0.236               	-9.882000184211e-06
0.237               	-9.892564600742e-06
0.238               	-9.902353176530e-06
0.239               	-9.911364365845e-06
0.24                	-9.919596745718e-06
0.241               	-9.927049016159e-06
0.242               	-9.933720000368e-06
0.243               	-9.939608644921e-06
0.244               	-9.944714019932e-06
0.245               	-9.949035319203e-06
0.246               	-9.952571860350e-06
0.247               	-9.955323084914e-06
0.248               	-9.957288558444e-06
0.249               	-9.958467970569e-06
0.25                	-9.958861135046e-06
0.251               	-9.958467989790e-06
0.252               	-9.957288596883e-06
0.253               	-9.955323142564e-06
0.254               	-9.952571937203e-06
0.255               	-9.949035415246e-06
0.256               	-9.944714135150e-06
0.257               	-9.939608779296e-06
0.258               	-9.933720153880e-06
0.259               	-9.927049188782e-06
0.26                	-9.919596937425e-06
0.261               	-9.911364576607e-06
0.262               	-9.902353406312e-06
0.263               	-9.892564849508e-06
0.264               	-9.882000451922e-06
0.265               	-9.870661881795e-06
0.266               	-9.858550929618e-06
0.267               	-9.845669507851e-06
0.268               	-9.832019650619e-06
0.269               	-9.817603513392e-06
0.27                	-9.802423372646e-06
0.271               	-9.786481625501e-06
0.272               	-9.769780789343e-06
0.273               	-9.752323501427e-06
0.274               	-9.734112518461e-06
0.275               	-9.715150716171e-06
0.276               	-9.695441088845e-06
0.277               	-9.674986748860e-06
0.278               	-9.653790926194e-06
