# Region type :   patch inlet
# Faces           : 12
# Area            : 4.1680000000e-05
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0                 	-7.8242468997e-21
0.001             	-1.3093984589e-11
0.002             	-5.2373870662e-11
0.003             	-1.1783345547e-10
0.004             	-2.0946240219e-10
0.005             	-3.2724624155e-10
0.006             	-4.7116637412e-10
0.007             	-6.4120007324e-10
0.008             	-8.3732048862e-10
0.009             	-1.0594966506e-09
0.01              	-1.3076934749e-09
0.011             	-1.5818717685e-09
0.012             	-1.8819882354e-09
0.013             	-2.2079954838e-09
0.014             	-2.5598420332e-09
0.015             	-2.9374723232e-09
0.016             	-3.3408267215e-09
0.017             	-3.7698415337e-09
0.018             	-4.2244490134e-09
0.019             	-4.7045773730e-09
0.02              	-5.2101507945e-09
0.021             	-5.7410894420e-09
0.022             	-6.2973094742e-09
0.023             	-6.8787230575e-09
0.024             	-7.4852383801e-09
0.025             	-8.1167596659e-09
0.026             	-8.7731871907e-09
0.027             	-9.4544172968e-09
0.028             	-1.0160342410e-08
0.029             	-1.0890851057e-08
0.03              	-1.1645827881e-08
0.031             	-1.2425153664e-08
0.032             	-1.3228705340e-08
0.033             	-1.4056356020e-08
0.034             	-1.4907975008e-08
0.035             	-1.5783427822e-08
0.036             	-1.6682576220e-08
0.037             	-1.7605278216e-08
0.038             	-1.8551388103e-08
0.039             	-1.9520756480e-08
0.04              	-2.0513230274e-08
0.041             	-2.1528652760e-08
0.042             	-2.2566863591e-08
0.043             	-2.3627698823e-08
0.044             	-2.4710990936e-08
0.045             	-2.5816568868e-08
0.046             	-2.6944258033e-08
0.047             	-2.8093880357e-08
0.048             	-2.9265254302e-08
0.049             	-3.0458194893e-08
0.05              	-3.1672513752e-08
0.051             	-3.2908019123e-08
0.052             	-3.4164515907e-08
0.053             	-3.5441805687e-08
0.054             	-3.6739686764e-08
0.055             	-3.8057954189e-08
0.056             	-3.9396399792e-08
0.057             	-4.0754812216e-08
0.058             	-4.2132976953e-08
0.059             	-4.3530676374e-08
0.06              	-4.4947689767e-08
0.061             	-4.6383793368e-08
0.062             	-4.7838760400e-08
0.063             	-4.9312361108e-08
0.064             	-5.0804362791e-08
0.065             	-5.2314529847e-08
0.066             	-5.3842623803e-08
0.067             	-5.5388403354e-08
0.068             	-5.6951624403e-08
0.069             	-5.8532040102e-08
0.07              	-6.0129400882e-08
0.071             	-6.1743454504e-08
0.072             	-6.3373946088e-08
0.073             	-6.5020618162e-08
0.074             	-6.6683210696e-08
0.075             	-6.8361461149e-08
0.076             	-7.0055104505e-08
0.077             	-7.1763873318e-08
0.078             	-7.3487497753e-08
0.079             	-7.5225705632e-08
0.08              	-7.6978222469e-08
0.081             	-7.8744771523e-08
0.082             	-8.0525073836e-08
0.083             	-8.2318848276e-08
0.084             	-8.4125811586e-08
0.085             	-8.5945678426e-08
0.086             	-8.7778161418e-08
0.087             	-8.9622971190e-08
0.088             	-9.1479816427e-08
0.089             	-9.3348403912e-08
0.09              	-9.5228438571e-08
0.091             	-9.7119623528e-08
0.092             	-9.9021660140e-08
0.093             	-1.0093424805e-07
0.094             	-1.0285708525e-07
0.095             	-1.0478986810e-07
0.096             	-1.0673229137e-07
0.097             	-1.0868404836e-07
0.098             	-1.1064483084e-07
0.099             	-1.1261432919e-07
0.1               	-1.1459223241e-07
0.101             	-1.1657822815e-07
0.102             	-1.1857200281e-07
0.103             	-1.2057324155e-07
